Authors,Title,Year,Source title,Page start,Page end,Link,Abstract,Author Keywords,Index Keywords,References,Language of Original Document,Document Type
"Álvarez-Esteban P.C., del Barrio E., Cuesta-Albertos J.A., Matrán C.",A contamination model for the stochastic order,2016,Test,751,774,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989902319&partnerID=40&md5=9a8dc17ea757cefaf81cd39d6c30949f,"Stochastic ordering among distributions has been considered in a variety of scenarios. However, it is often a restrictive model, not supported by the data even in cases in which the researcher tends to believe that a certain variable is somehow smaller than other. Alternatively, we propose to look at a more flexible version in which two distributions satisfy an approximate stochastic order relation if they are slightly contaminated versions of distributions for which stochastic order holds. The minimal level of contamination required for stochastic order to hold is used as a measure of deviation from exact stochastic order model. Our approach is based on the use of trimmings of probabilities. We discuss their connection to approximate stochastic order and provide theoretical support for its use in data analysis, proving uniform consistency and giving non-asymptotic bounds for the error probabilities of our tests. We provide simulation results and a case study for illustration. © 2016, Sociedad de Estadística e Investigación Operativa.",Asymptotics; Bootstrap; Contamination model; Stochastic order; Trimmed distribution; Uniformly consistent test,,"Álvarez-Esteban, P.C., del Barrio, E., Cuesta-Albertos, J.A., Matrán, C., Trimmed comparison of distributions (2008) J Am Stat Assoc, 103, pp. 697-704; Álvarez-Esteban, P.C., del Barrio, E., Cuesta-Albertos, J.A., Matrán, C., Uniqueness and approximate computation of optimal incomplete transportation plans (2011) Annales de l’Institut Henri Poincaré Probabilités et Statistiques, 47, pp. 358-375; Álvarez-Esteban, P.C., del Barrio, E., Cuesta-Albertos, J.A., Matrán, C., Similarity of samples and trimming (2012) Bernoulli, 18, pp. 606-634; http://arxiv.org/abs/1412.1920, Álvarez-Esteban PC, del Barrio E, Cuesta-Albertos JA, Matrán C (2014) A contamination model for approximate stochastic order: extended versionAnderson, G., Nonparametric tests for stochastic dominance (1996) Econometrica, 64, pp. 1183-1193; Arcones, M.A., Kvam, P.H., Samaniego, F.J., Nonparametric estimation of a distribution subject to a stochastic precedence constraint (2002) J Am Stat Assoc, 97, pp. 170-182; Barrett, G.F., Donald, S.G., Consistent tests for stochastic dominance (2003) Econometrica, 71, pp. 71-104; Barron, A.R., Uniformly powerful goodness of fit tests (1989) Ann Stat, 17, pp. 107-124; Berger, R.L., A nonparametric, intersection-union test for stochastic order (1988) Statistical decision theory and related topics IV, , Gupta SS, Berger JO, (eds), 2, Springer-Verlag, New York; Davidson, R., Duclos, J.Y., Statistical inference for stochastic dominance and for the measurement of poverty and inequality (2000) Econometrica, 68, pp. 1435-1464; Davidson, R., Duclos, J.Y., Testing for restricted stochastic dominance (2013) Econ Rev, 32, pp. 84-125; Gordaliza, A., Best approximations to random variables based on trimming procedures (1991) J Approx Theor, 64, pp. 162-180; Hodges, J.L., Lehmann, E.L., Testing the approximate validity of statistical hypotheses (1954) J R Stat Soc B, 16, pp. 261-268; Lehmann, E.L., Ordered families of distributions (1955) Ann Math Stat, 26, pp. 399-419; Lindsay, B.G., Liu, J., Model assessment tools for a model false world (2009) Stat Sci, 24, pp. 303-318; Linton, O., Maasoumi, E., Whang, Y.J., Consistent testing for stochastic dominance under general sampling schemes (2005) Rev Econ Stud, 72, pp. 735-765; Linton, O., Song, K., Whang, Y.J., An improved bootstrap test for stochastic dominance (2010) J Econ, 154, pp. 186-202; Liu, J., Lindsay, B.G., Building and using semiparametric tolerance regions for parametric multinomial models (2009) Ann Stat, 37, pp. 3644-3659; McFadden, D., Testing for stochastic dominance (1989) Studies in the economics of uncertainty, , Fomby TB, Seo TK, (eds), Springer, In Honor of Josef Hadar; Mosler, K., Testing whether two distributions are stochastically ordered or not (1995) Grundlagen der Statistik und ihre Anwendungen: Festschrift für Kurt Weichselberger, , Rinne H, Rüger B, Strecker H, (eds), Springer, Heidelberg; Müller, A., Stoyan, D., (2002) Comparison methods for stochastic models and risks, , Wiley, Chichester; Raghavachari, M., Limiting distributions of the Kolmogorov–Smirnov type statistics under the alternative (1973) Ann Stat, 1, pp. 67-73; Rudas, T., Clogg, C.C., Lindsay, B.G., A New Index of Fit Based on Mixture Methods for the Analysis of Contingency Tables (1994) J R Stat Soc B, 56, pp. 623-639; Shaked, M., Shanthikumar, J.G., (2007) Stochastic orders, , Springer, New York; Schmid, F., Trede, M., Testing for first order stochastic dominance in either direction (1996) Comput Stat, 11, pp. 165-173; Schmid, F., Trede, M., Testing for first-order stochastic dominance: a new distribution-free test (1996) Statistician, 45, pp. 371-380; Shorack, G.R., (1986) Wellner JA, , Empirical processes with applications to statistics, Wiley",English,Article
"Munda M., Legrand C., Duchateau L., Janssen P.",Testing for decreasing heterogeneity in a new time-varying frailty model,2016,Test,591,606,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951757686&partnerID=40&md5=1c6c8a9e26130599d82185f1b402360b,"Frailty models adjust for between-cluster variability in survival data by including a cluster-specific random factor, the frailty term, in the Cox model. The frailty term is assumed to be constant over time. This assumption is questionable in some particular settings, e.g., in cancer clinical trials on chronic myeloid leukaemia. We therefore relax the time-constant heterogeneity assumption and consider frailty models with a time-varying frailty term. Instead of working with hazard models, we rather model the log cumulative hazard function, making use of the mixed model framework, and introduce a time-varying random effect at that level. Simulations demonstrate that the proposed method has acceptable size and power to detect time-dependent clustering. The method is applied to data from a large-scale multicentre clinical trial in patients with chronic myeloid leukaemia. © 2015, Sociedad de Estadística e Investigación Operativa.",Frailty model; Linear mixed effects model; Log cumulative hazard model; Multivariate survival; Time-varying random effects,,"Claeskens, G., Nguti, R., Janssen, P., Likelihood ratio and score tests for a shared frailty model: a non-standard problem (2008) Test, 17 (1), pp. 69-82; Davison, A.C., Hinkley, D.V., (1997) Bootstrap methods and their application, , Cambridge University Press, Cambridge; Duchateau, L., Janssen, P., (2008) The frailty model, , Springer, New York; Fong, D.Y.T., Lam, K.F., Lawless, J.F., Lee, Y.W., Dynamic random effects models for times between repeated events (2001) Lifetime Data Anal, 7 (4), pp. 345-362; Gjessing, H.K., Aalen, O.O., Hjort, N.L., Frailty models based on Lévy processes (2003) Adv Appl Probab, 35 (2), pp. 532-550; Gratwohl, A., The EBMT risk score (2012) Bone Marrow Transplant, 47 (6), pp. 749-756; Lam, K.F., Lee, Y.W., Leung, T.L., Modeling multivariate survival data by a semiparametric random effects proportional odds model (2002) Biometrics, 58 (2), pp. 316-323; Legrand, C., Sylvester, R., Duchateau, L., Janssen, P., Therasse, P., Treatment outcome studies: pitfalls in current methods and practice (2002) Eur J Cancer, 38 (9), pp. 1173-1180; Legrand, C., Duchateau, L., Sylvester, R., Janssen, P., van der Hage, J.A., van de Velde, C.J.H., Therasse, P., Heterogeneity in disease free survival between centers: lessons learned from an EORTC breast cancer trial (2006) Clin Trials, 3 (1), pp. 10-18; Littell, R.C., Pendergast, J., Natarajan, R., Modelling covariance structure in the analysis of repeated measures data (2000) Stat Med, 19 (13), pp. 1793-1819; Littell, R.C., Milliken, G.A., Stroup, W.W., Wolfinger, R.D., Schabenberger, O., (2006) SAS for mixed models, , SAS Institute, Cary; López-de-Ullibarri, I., Janssen, P., Cao, R., Continuous covariate frailty models for censored and truncated clustered data (2012) J Stat Plan Inference, 142 (7), pp. 1864-1877; Manda, S.O.M., Meyer, R., Bayesian inference for recurrent events data using time-dependent frailty (2005) Stat Med, 24 (8), pp. 1263-1274; Massonnet, G., Burzykowski, T., Janssen, P., Resampling plans for frailty models (2006) Commun Stat Simulat, 35 (2), pp. 497-514; Massonnet, G., Janssen, P., Burzykowski, T., Fitting conditional survival models to meta-analytic data by using a transformation toward mixed-effects models (2008) Biometrics, 64 (3), pp. 834-842; Moeschberger, M.L., Klein, J.P., A comparison of several methods of estimating the survival function when there is extreme right censoring (1985) Biometrics, 41 (1), pp. 253-259; Paik, M.C., Tsai, W.Y., Ottman, R., Multivariate survival analysis using piecewise gamma frailty (1994) Biometrics, 50 (4), pp. 975-988; Pennell, M.L., Dunson, D.B., Bayesian semiparametric dynamic frailty models for multiple event time data (2006) Biometrics, 62 (4), pp. 1044-1052; Putter, H., (2015) van Houwelingen HC, , Dynamic frailty models based on compound birth-death processes, Biostatistics; Rice, W.R., Gaines, S.D., Extending nondirectional heterogeneity tests to evaluate simply ordered alternative hypotheses (1994) Proc Natl Acad Sci, 91 (1), pp. 225-226; Rice, W.R., Gaines, S.D., The ordered-heterogeneity family of tests (1994) Biometrics, 50 (3), pp. 746-752; Teodorescu, B., Van Keilegom, I., Cao, R., Generalized time-dependent conditional linear models under left truncation and right censoring (2010) Ann Inst Stat Math, 62 (3), pp. 465-485; Wang, K., Yau, K.K.W., Lee, A.H., McLachlan, G.J., Multilevel survival modelling of recurrent urinary tract infections (2007) Comput Method Prog Biomed, 87 (3), pp. 225-229; Wintrebert, C.M.A., Putter, H., Zwinderman, A.H., van Houwelingen, H.C., Centre-effect on survival after bone marrow transplantation: Application of time-dependent frailty models (2004) Biom J, 46, pp. 512-525; Yau, K.K.W., McGilchrist, C.A., ML and REML estimation in survival analysis with time dependent correlated frailty (1998) Stat Med, 17 (11), pp. 1201-1213; Yue, H., Chan, K.S., A dynamic frailty model for multivariate survival data (1997) Biometrics, 53 (3), pp. 785-793",English,Article
"Yang W., Zhao Z., Wang X., Hu S.",The large deviation results for the nonlinear regression model with dependent errors,2016,Test,1,23,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994430976&partnerID=40&md5=e8914b44db8073817fd9f18f417e5b46,"In this paper, we investigate the least squares (LS) estimator of the nonlinear regression model based on the extended negatively dependent errors which are widely dependent structures. Under the general conditions, we establish some large deviation results for the LS estimator of the nonlinear regression parameter, which can be applied to obtain a weak uniform consistency and a complete convergence rate for this estimator. In addition, some examples and simulations are presented for illustration. © 2016 Sociedad de Estadística e Investigación Operativa",END random variables; Large deviation; Least squares estimator; Nonlinear regression models,,,English,Article in Press
"Alkhalifa L., Brimberg J.",Locating a minisum annulus: a new partial coverage distance model,2016,TOP,1,21,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992176896&partnerID=40&md5=e977b6f5d37a9774e637d7b21aa2866d,"The problem is to find the best location in the plane of a minisum annulus with fixed width using a partial coverage distance model. Using the concept of partial coverage distance, those demand points within the area of the annulus are served at no cost, while for ‘uncovered’ demand points there will be additional costs proportional to their distances to the annulus. The objective of the problem is to locate the annulus such that the sum of distances from the uncovered demand points to the annulus (covering area) is minimized. The distance is measured by the Euclidean norm. We discuss the case where the radius of the inner circle of the annulus is variable, and prove that at least two demand points must be on the boundary of any optimal annulus. An algorithm to solve the problem is derived based on this result. © 2016 Sociedad de Estadística e Investigación Operativa",Covering location models; Median circle problem; Minisum annulus,,,English,Article in Press
"Santos C.C., Loschi R.H.",Maximum likelihood estimation and parameter interpretation in elliptical mixed logistic regression,2016,Test,1,22,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992052304&partnerID=40&md5=76e03f698ef236073669470d3db3271a,"We introduce the class of elliptical mixed logistic model with focus on the normal/independent subclass. Parameter interpretation in mixed logistic model is not straightforward since the odds ratio is random. For the proposed models, we obtain the odds ratio distribution and its summaries used to interpret the fixed effects and to measure the heterogeneity among the clusters thus extending previous results. Fisher information is also obtained. A Monte Carlo expectation-maximization algorithm is considered to obtain the maximum likelihood estimates. A simulation study is performed comparing normal and heavy-tailed models. It also address the effect of the misspecification of the random effect distribution and other model aspects in the parameter interpretation. A data analysis is performed showing the utility of heavy-tailed mixed logistic model. Among the main conclusions, we note that the misspecification of the random effect distribution influences the fixed effects interpretation and the quantification of the among clusters heterogeneity. © 2016 Sociedad de Estadística e Investigación Operativa",EM-type algorithm; Heavy tail; Random odds ratio,,,English,Article in Press
"Fernández E., Rodríguez-Pereira J.",Multi-depot rural postman problems,2016,TOP,1,33,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992134095&partnerID=40&md5=2fb675f4d411f6f592eb452fc761fea3,"This paper studies multi-depot rural postman problems on an undirected graph. These problems extend the well-known undirected rural postman problem to the case where there are several depots instead of just one. Linear integer programming formulations that only use binary variables are proposed for the problem that minimizes the overall routing costs and for the model that minimizes the length of the longest route. An exact branch-and-cut algorithm is presented for each considered model, where violated constraints of both types are separated in polynomial time. Despite the difficulty of the problems, the numerical results from a series of computational experiments with various types of instances illustrate a quite good behavior of the algorithms. When the overall routing costs are minimized, over 43 % of the instances were optimally solved at the root node, and 95 % were solved at termination, most of them with a small additional computational effort. When the length of the longest route is minimized, over 25 % of the instances were optimally solved at the root node, and 99 % were solved at termination. © 2016 Sociedad de Estadística e Investigación Operativa",Arc routing; Binary formulation; Multi-depot rural postman problem,,,English,Article in Press
"Boente G., Martínez A.",Marginal integration M-estimators for additive models,2016,Test,1,30,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991373045&partnerID=40&md5=2c9aa75db37ed86535a9b7bbfb112777,"Additive regression models have a long history in multivariate non-parametric regression. They provide a model in which the regression function is decomposed as a sum of functions, each of them depending only on a single explanatory variable. The advantage of additive models over general non-parametric regression models is that they allow to obtain estimators converging at the optimal univariate rate avoiding the so-called curse of dimensionality. Beyond backfitting, marginal integration is a common procedure to estimate each component in additive models. In this paper, we propose a robust estimator of the additive components which combines local polynomials on the component to be estimated with the marginal integration procedure. The proposed estimators are consistent and asymptotically normally distributed. A simulation study allows to show the advantage of the proposal over the classical one when outliers are present in the responses, leading to estimators with good robustness and efficiency properties. © 2016 Sociedad de Estadística e Investigación Operativa",Additive models; Kernel weights; Local M-estimation; Marginal integration; Robustness,,,English,Article in Press
"Li H., Hu J., Bai Z., Yin Y., Zou K.",Test on the linear combinations of mean vectors in high-dimensional data,2016,Test,1,21,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991098697&partnerID=40&md5=5e4848344c554435d615bcd4c79dead3,"In this study, we propose a procedure for simultaneous testing (Formula presented.) linear relations on (Formula presented.) high-dimensional mean vectors with heterogeneous covariance matrices, which extends the result derived by Nishiyama et al. (J Stat Plan Inference 143(11):1898–1911, 2013) and does not need the normality assumption. The newly proposed test statistic is motivated by Bai and Saranadasa (Statistica Sinica 6(2):311–329, 1996) and Chen and Qin (Ann Stat 38(2):808–835, 2010). As a special case, our result could be applied to multivariate analysis of variance, that is, testing the equality of k high-dimensional mean vectors. © 2016 Sociedad de Estadística e Investigación Operativa",Bonferroni correction; High-dimensional data; Hypothesis test; Mean vectors,,,English,Article in Press
"Francq C., Wintenberger O., Zakoïan J.-M.",Goodness-of-fit tests for Log-GARCH and EGARCH models,2016,Test,1,25,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990855985&partnerID=40&md5=7fdfb9591483156e710d8148a7739d1b,"This paper studies goodness-of-fit tests and specification tests for an extension of the Log-GARCH model, which is both asymmetric and stable by scaling. A Lagrange-multiplier test is derived for testing the extended Log-GARCH against more general formulations taking the form of combinations of Log-GARCH and exponential GARCH (EGARCH). The null assumption of an EGARCH is also tested. Portmanteau goodness-of-fit tests are developed for the extended Log-GARCH. An application to real financial data is proposed. © 2016 Sociedad de Estadística e Investigación Operativa",EGARCH; Invertibility of time series models; LM tests; Log-GARCH; Portmanteau tests; Quasi-maximum likelihood,,,English,Article in Press
de Oliveira W.,Regularized optimization methods for convex MINLP problems,2016,TOP,665,692,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960431539&partnerID=40&md5=88a54138ed63bcbcfc56533347187a60,"We propose regularized cutting-plane methods for solving mixed-integer nonlinear programming problems with nonsmooth convex objective and constraint functions. The given methods iteratively search for trial points in certain localizer sets, constructed by employing linearizations of the involved functions. New trial points can be chosen in several ways; for instance, by minimizing a regularized cutting-plane model if functions are costly. When dealing with hard-to-evaluate functions, the goal is to solve the optimization problem by performing as few function evaluations as possible. Numerical experiments comparing the proposed algorithms with classical methods in this area show the effectiveness of our approach. © 2016, Sociedad de Estadística e Investigación Operativa.",Cutting-plane method; Mixed-integer programming; Nonsmooth optimization,,"Arnold, T., Henrion, R., Moller, A., Vigerske, U.S., A mixed-integer stochastic nonlinear optimization problem with joint probabilistic constraints (2014) Pac J Optim, 10, pp. 5-20; Belotti, P., Kirches, C., Leyffer, S., Linderoth, J., Luedtke, J., Mahajan, A., Mixed-integer nonlinear optimization (2013) Acta Numer, 22, pp. 1-131; Ben Amor, H., Desrosiers, J., Frangioni, A., On the choice of explicit stabilizing terms in column generation (2009) Discret Appl Math, 157, pp. 1167-1184; Bonami, P., Biegler, L.T., Conn, A.R., Cornuéjols, G., Grossmann, I.E., Laird, C.D., Lee, J., WäChter, A., An algorithmic framework for convex mixed integer nonlinear programs (2008) Discret Optim, 5, pp. 186-204; Bonami, P., Biegler, L.T., Conn, A.R., Cornuéjols, G., Grossmann, I.E., Laird, C.D., Lee, J., Wächter, A., An algorithmic framework for convex mixed integer nonlinear programs (2008) Discret Optim, 5, pp. 186-204. , (In Memory of George B. Dantzig); Bruno, S.V., Moraes, L.A., de Oliveira, W., Optimization techniques for the Brazilian natural gas network planning problem (2015) Energy Syst, pp. 1-21; Currie, J., Wilson, D.I., Sahinidis, N., Pinto, J., OPTI: lowering the barrier between open source optimizers and the Industrial MATLAB User (2012) Foundations of Computer-Aided Process Operations, pp. 8-11. , Savannah, Georgia; D’Ambrosio, C., Frangioni, A., Liberti, L., Lodi, A., On interval-subgradient and no-good cuts (2010) Oper Res Lett, 38, pp. 341-345; de Oliveira, W., Sagastizábal, C., Bundle methods in the xxist century: a birds’-eye view (2014) Pesquisa Oper, 34, pp. 647-670; de Oliveira, W., Solodov, M., A doubly stabilized bundle method for nonsmooth convex optimization (2016) Math Program, 156 (1), pp. 125-159; Dolan, E.D., Moré, J.J., Benchmarking optimization software with performance profiles (2002) Math Program, 91, pp. 201-213; Duran, M., Grossmann, I.E., An outer-approximation algorithm for a class of mixed-integer nonlinear programs (1986) Math Program, 36, pp. 307-339; Eronen, V.-P., Makela, M.M., Westerlund, T., On the generalization of ecp and oa methods to nonsmooth convex minlp problems (2014) Optimization, 63, pp. 1057-1073; Fletcher, R., Leyffer, S., Solving mixed integer nonlinear programs by outer approximation (1994) Math Program, 66, pp. 327-349; Frangioni, A., Gentile, C., Perspective cuts for a class of convex 0-1 mixed integer programs (2006) Math Program, 106, pp. 225-236; Geoffrion, A., Generalized benders decomposition (1972) J Optim Theory Appl, 10, pp. 237-260; Grossmann, I.E., Review of nonlinear mixed-integer and disjunctive programming techniques (2002) Optim Eng, 3, pp. 227-252; Hemmecke, R., Kppe, M., Lee, J., Weismantel, R., Nonlinear integer programming (2010) 50 Years of Integer Programming 1958–2008, pp. 561-618. , Jnger M, Liebling TM, Naddef D, Nemhauser GL, Pulleyblank WR, Reinelt G, Rinaldi G, Wolsey LA, (eds), Springer, Berlin, Heidelberg; Kelley, J., Jr., The cutting-plane method for solving convex programs (1960) J Soc Ind Appl Math, 8, pp. 703-712; Kiwiel, K., Lemaréchal, C., An inexact bundle variant suited to column generation (2009) Math Program, 118, pp. 177-206; Lemaréchal, C., Nemirovskii, A., Nesterov, Y., New variants of bundle methods (1995) Math Program, 69, pp. 111-147; Leyffer, S., Integrating sqp and branch-and-bound for mixed integer nonlinear programming (1998) Comput Optim Appl, 18, pp. 295-309; Lubin, M., Martin, K., Petra, C.G., Sandiki, B., On parallelizing dual decomposition in stochastic integer programming (2013) Oper Res Lett, 41, pp. 252-258; Mayer, J., On the numerical solution of jointly chance constrained problems. Chapter 12 in [31] (2000) 1st edn, , Springer, New York; Munari, P., Gondzio, J., Using the primal-dual interior point algorithm within the branch-price-and-cut method (2013) Comput Oper Res, 40, pp. 2026-2036; Quesada, I., Grossmann, I., An lp/nlp based branch and bound algorithm for convex minlp optimization problems (1992) Comput Chem Eng, 16, pp. 937-947; Sagastizábal, C., Divide to conquer: decomposition methods for energy optimization (2012) Math Program, 134, pp. 187-222; Schütz, P., Tomasgard, A., Ahmed, S., Supply chain design under uncertainty using sample average approximation and dual decomposition (2009) Eur J Oper Res, 199, pp. 409-419; Shapiro, A., Dentcheva, D., Ruszczyński, A., Lectures on stochastic programming: modeling and theory (2009) MPS-SIAM series on optimization, , SIAM—Society for Industrial and Applied Mathematics and Mathematical Programming Society, Philadelphia; Stubbs, R.A., Mehrotra, S., A branch-and-cut method for 0–1 mixed convex programming (1999) Math Program, 86, pp. 515-532; Uryas’ev, S., (2000) Probabilistic constrained optimization: methodology and applications, , Kluwer Academic Publishers, Berlin; van Ackooij, W., de Oliveira, W., Level bundle methods for constrained convex optimization with various oracles (2014) Comput Optim Appl, 57, pp. 555-597; van Ackooij, W., Minoux, M., A characterization of the subdifferential of singular gaussian distribution functions (2015) Set Valued Var Anal, 23, pp. 465-483; Westerlund, T., Lundqvist, K., (2005) Alpha-ecp, version 5.101: an interactive minlp-solver based on the extended cutting plane method, Tech, , http://www.abo.fi/~twesterl/A-ECPManual, Report 01-178-A, Process Design Laboratory at Abo Akademi University. Updated version of 2005-10-21; Westerlund, T., Pettersson, F., An extended cutting plane method for solving convex minlp problems (1995) Comput Chem Eng 19(Supplement, 131-136 (European Symposium on Computer Aided Process Engineering), p. 1; Westerlund, T., Pörn, R., Solving pseudo-convex mixed integer optimization problems by cutting plane techniques (2002) Optim Eng, 3, pp. 253-280",English,Article
